ds,yhat,yhat_lower,yhat_upper
2014-01-01,78.41596208320898,-0.6206006824013817,157.3930744151257
2014-01-02,63.34484175462728,-14.366943504535888,145.47774603297015
2014-01-03,71.39903026173573,-6.084144461474531,148.29029025059495
2014-01-04,115.42349610252992,38.99274915712724,194.48486742474995
2014-01-05,71.72883197178307,-7.479183701114749,156.69042040836865
2014-01-06,46.28886082325306,-33.69745717135855,123.85064435335605
2014-01-07,42.02173625333372,-39.516718882562024,119.68056976716156
2014-01-08,60.297031338999,-22.90459138050894,139.1855300199014
2014-01-09,49.77264218194592,-25.894692792086154,128.80435833058033
2014-01-10,62.794060443819895,-13.964532868713755,150.3361049676626
2014-01-11,112.09380164257777,31.688475804365982,192.97411797491415
2014-01-12,73.8625557100554,-7.8431012479636095,151.17736335334624
2014-01-13,53.94944580505755,-21.434030071777343,136.71778259083655
2014-01-14,55.145897380288346,-23.75369149923554,134.75013369564724
2014-01-15,78.69554941267883,-5.008657379696817,158.75378523406465
2014-01-16,73.13397038635908,-5.862769823200475,154.28088060216865
2014-01-18,143.99112903863937,62.26794103367003,226.28147598754734
2014-01-19,109.13036133858975,29.452015045792187,189.80815352549547
2014-01-20,91.8753279657122,14.668040780517114,172.21836528299187
2014-01-21,94.95066736178741,17.41874160775834,177.83223873631738
2014-01-22,119.55012425682658,39.511650229743445,202.43067531725472
2014-01-23,114.1774073798903,40.6693793768006,199.18551908913278
2014-01-24,131.04894012472667,53.80183709302038,210.80224844909893
2014-01-25,182.79621180116567,105.83696848200495,258.42118670493846
2014-01-26,145.539229374689,61.05379853538366,225.6671828729496
2014-01-27,125.08840316976547,44.69435150502824,206.7020757434634
2014-01-28,124.22933134059153,42.86307632683544,202.14423097611765
2014-01-29,144.23289401089215,62.485707049438965,225.47017838219432
2014-01-30,133.69441535614965,51.06967157776377,207.70074977314542
2014-01-31,144.93439678073395,70.36302040621653,224.15023222873748
2014-02-01,190.6985748084515,104.83304967845066,268.20105028650784
2014-02-02,147.22885587966874,65.92623115749998,225.4677518758699
2014-02-03,120.46251883461368,46.664011217461834,201.5745805236763
2014-02-04,113.31421090876866,36.76860609316814,191.91229941745783
2014-02-05,127.18321145558686,46.82346063322047,207.17824604974655
2014-02-06,110.789785799488,32.45459894929992,192.9648154159211
2014-02-07,116.5731958170637,37.36602851751554,194.74059016244698
2014-02-08,157.38918220545395,76.50364051870822,237.44805294988458
2014-02-09,109.57852836605375,30.789756327224854,192.70825694868358
2014-02-12,80.93327145298007,-0.8530820525309284,155.40974565378613
2014-02-13,63.32685786056106,-15.043713915213747,146.00750473154878
2014-02-14,68.76947464674282,-15.791552744468033,149.75662692110976
2014-02-15,110.11646184697841,27.941731554235638,191.38178444442698
2014-02-16,63.68976469015429,-8.17993512700788,145.8065023676916
2014-02-17,35.47556985720172,-46.96148873018401,118.28812724215697
2014-02-18,28.405435068689382,-51.36822907960038,109.34830230585379
2014-02-19,43.86340189928227,-30.62600770031745,122.75607498096542
2014-02-20,30.52291345480541,-46.95677829627772,110.76051749934174
2014-02-21,40.74608639661058,-41.50509208795898,120.4819192257772
2014-02-22,87.28311929114311,6.499742030041878,169.5271785355983
2014-02-23,46.34339921078518,-26.1843534507886,127.3317624156757
2014-02-24,23.795688437094686,-59.14590671913221,97.89761204547514
2014-02-25,22.451889736874932,-52.97344695964159,101.09615694881569
2014-02-26,43.576819411277526,-35.8798969602753,119.07174671459215
2014-02-27,35.727748963093404,-45.20053938122511,114.49575275883718
2014-02-28,51.15620540001227,-34.38221485720196,126.49894911558407
2014-03-01,102.5097554525136,27.523837596098257,183.7431327028744
2014-03-02,65.90528277949008,-12.365761900122056,148.34341608971434
2014-03-03,47.13109258010918,-39.877423893075935,128.67320401183122
2014-03-05,72.52190276469182,-10.571091592967132,148.15611533435148
2014-03-06,66.42125676489607,-14.110645114989454,142.10973330688864
2014-03-07,82.86245346273363,4.457287109558482,158.32783703575288
2014-03-08,134.4902888294255,55.67959330560683,217.13018381256217
2014-03-09,97.43534891000303,12.113570022583946,172.77531622238368
2014-03-10,77.51554980136676,0.147386282719167,151.80665370041518
2014-03-11,77.52060733052676,3.0866669234273028,163.36339564931458
2014-03-12,98.7218569054285,20.874109433847195,179.22673597920792
2014-03-13,89.71119092850245,8.345760610670023,171.20338993607763
2014-03-14,102.80162531540522,27.213512217616145,183.90609429100525
2014-03-16,109.71416494829727,30.546446272908987,183.37930007856679
2014-03-17,85.67966763709649,8.481945856890547,171.04938616059306
2014-03-18,81.51443678990393,-0.8147572502022513,160.89928636750494
2014-03-19,98.58997193479907,16.1497789624915,176.15801458883772
2014-03-20,85.59524008337496,8.105584316909377,161.9952250680759
2014-03-21,94.93505033799273,19.12934127240694,175.00170476000073
2014-03-22,139.42797297528432,59.44671772627568,224.35748967413997
2014-03-23,95.37540643504798,14.638358438110336,177.61484341618575
2014-03-24,68.75922756629647,-5.435278960767645,153.86343804315158
2014-03-25,62.5225877434941,-16.760329657602718,137.81449280214153
2014-03-26,78.07635724290408,-2.0448261227421027,160.94798103144788
2014-03-27,64.13505917580298,-16.141150439375952,147.80159430328405
2014-03-28,73.11486878645546,-11.132538181607206,158.19583021056286
2014-03-29,117.83149240294931,45.02815610246923,200.5320122827423
2014-03-30,74.56952558781022,-3.422225614972712,153.59055913088164
2014-03-31,49.2807140464594,-33.164374788371724,135.59030228679356
2014-04-01,44.86566113697918,-36.645432474249596,128.75027656300426
2014-04-02,62.68145861608002,-15.63787057857106,145.8580376057916
2014-04-03,51.37905022096256,-27.337772521062647,128.99898522950423
